Year,Make,Model,Body Type,Mileage,Price Sold,Year Sold
1995,Ford,Mustang,Convertible,83552,3750,2019
1969,Ford,Mustang,Fastback,100000,4500,2019
1971,Dodge,Challenger,Coupe,100000,25060,2019
1973,Dodge,Charger,Coupe,135000,8000,2020
2007,Cadillac,Dts,Sedan,73500,3500,2020
2014,Ford,Explorer,Suv,102000,14500,2020
1993,Chevrolet,C1500,Pickup,86000,15500,2020
2007,Toyota,Tundra,Crew Cab Pickup,179523,12500,2019
1973,Oldsmobile,Cutlass,Coupe,7,6500,2020
2006,Dodge,Charger,Sedan,107777,5000,2020
2012,Hyundai,Genesis,Coupe,60000,2750,2020
1929,Dodge,Other,Coupe,100,8360,2019
1966,Ford,Mustang,Convertible,80797,10000,2019
1989,Ford,Bronco,Suv,104805,970,2019
2008,Honda,Accord,Sedan,162461,1320,2019
1965,Buick,Riviera,Sedan,70653,10000,2020
2016,Honda,Odyssey,Minivan,46239,19500,2020
2011,Ford,Mustang,Coupe,11200,33000,2019
2001,Gmc,Yukon,Suv,176695,1580,2019
2008,Ford,F-150,Extended Crew Cab Pickup,265000,2900,2019
1996,Ford,Mustang,Convertible,91062,5100,2020
1999,Ford,F-350,Crew Cab Pickup,137999,7370,2019
1969,Pontiac,Gto,Coupe,42630,7700,2020
2007,Chevrolet,Suburban,Suv,48832,10560,2020
2006,Subaru,Impreza,Sedan,150447,6700,2020
1999,Mitsubishi,3000Gt,Coupe,127456,2030,2019
1931,Chevrolet,Sedan,Sedan,52500,8000,2020
2013,Ford,F-150,Standard Cab Pickup,13935,15200,2019
1995,Cadillac,Fleetwood,Sedan,37858,9100,2020
1987,Chevrolet,Silverado 1500,Truck,75688,12700,2019
2007,Nissan,Frontier,Crew Cab Pickup,197320,6200,2020
2007,Bmw,3-Series,Coupe,131259,5200,2020
1973,Dodge,Charger,Coupe,26478,9600,2018
1978,Chevrolet,Corvette,Coupe,73411,6100,2019
2010,Chevrolet,Silverado 1500,Pickup Truck,63085,14000,2020
1994,Ford,Thunderbird,Coupe,177000,1730,2019
1980,Mg,Mgb,Convertible,50500,4500,2020
1970,Plymouth,Duster,Coupe,75000,8500,2019
1972,Chevrolet,Blazer,Truck 4X4,65000,20600,2019
2006,Dodge,Sprinter,Cargo Van,390000,2740,2020
2013,Mercedes-Benz,Sprinter,Extended Passenger Van,28000,28500,2019
1964,Chevrolet,Nova,Wagon,1,9900,2019
1997,Dodge,Ram 1500,Standard Cab Pickup,278594,500,2019
2002,Ram,2500,Standard Cab Pickup,122602,940,2019
2011,Ford,Transit Connect,Van,141095,3550,2019
1991,Toyota,Other,Extended Cab Pickup,107164,6800,2019
1927,Ford,Model T,Convertible,110,21000,2020
1948,Jeep,Cj,Suv,0,1280,2019
2013,Ford,Fusion,Sedan,137000,5950,2019
1983,Puma,Gtc,Convertible,19000,3500,2019
2010,Lincoln,Town Car,Sedan,123000,6850,2020
2005,Bmw,3-Series,Sedan,129000,2080,2019
2012,Suzuki,Kizashi,Sedan,57531,5900,2019
2015,Kia,Optima,Sedan,144120,6000,2018
2007,Bmw,3-Series,Convertible,122603,3950,2018
1963,Ford,E-Series Van,Pickup,89823,4050,2019
1966,Chevrolet,Chevelle,Coupe,70400,27500,2019
2001,Dodge,Ram 2500,Extended Cab Pickup,330000,8500,2019
1959,Cadillac,60 Special,Sedan,1000000,9500,2019
1985,Buick,Grand National,Coupe,102000,2500,2019
1963,Mercury,Meteor,Coupe Hardtop Coupe,59851,5600,2019
2002,Toyota,4Runner,Suv,184300,6100,2019
1956,Chevrolet,Chevy,Wagon,0,18900,2019
2007,Porsche,Cayman,Coupe,108000,12100,2019
1960,Chevrolet,Impala,Sedan,100000,2550,2020
1969,Chevrolet,C-10,Standard Cab Pickup,100000000,5600,2019
1978,Jeep,Cj,Suv,10000000,9010,2020
1970,Ford,Mustang,Coupe Convertible,41789,12900,2019
1964,Lincoln,Continental,Sedan,134098,10100,2019
1993,Jeep,Wrangler,Suv,59114,10100,2020
1984,Mazda,B-Series Pickups,2Dr Pickup,165402,2430,2019
1988,Mazda,B-Series Pickups,Pickup Truck Club Cab,110272,2130,2019
1969,Chevrolet,Impala,Sedan,111320,2800,2019
1972,Ford,F-150,Extended Cab Pickup,10000,820,2020
1969,Ford,Mustang,Mach 1,26347,9200,2019
1958,Chevrolet,Bel Air/150/210,Hardtop,79933,1700,2019
1979,Ford,F900,Tanker,16000,3600,2019
1977,Jeep,J10,Pickup Truck,68134,8000,2020
1985,Bmw,7-Series,Sedan,172000,3500,2019
1970,Chevrolet,Chevelle,Coupe,100000,10500,2020
1968,Chevrolet,Corvette,Coupe,100000,12100,2020
2017,Volvo,Xc90,Suv,24000,19940,2019
2013,Cadillac,Xts,Sedan,216363,3500,2019
2003,Honda,Accord,Sedan,280600,1750,2019
1960,Volkswagen,Karmann Ghia,Convertible,0,1580,2019
1959,Chevrolet,Brookwood,Station Wagon,0,8100,2019
2006,Volvo,Xc90,Suv,150321,400,2020
1996,Acura,Integra,Hatchback,165000,15100,2020
2015,Jeep,Wrangler,Suv,41950,36200,2020
1970,Ford,E-Series Van,Extended Passenger Van,71200,4000,2019
1998,Ford,Explorer,Suv,121352,1080,2019
2005,Chevrolet,Corvette,Coupe,12094,16100,2019
2017,Ford,Escape,Suv,20787,11000,2019
2015,Ford,F-150,Crew Cab Pickup,65000,14100,2019
2005,Ford,F-250,Crew Cab Pickup,172960,7600,2019
2010,Ford,F-250,Crew Cab Pickup,198226,9600,2019
2006,Chevrolet,Silverado 3500,Extended Cab Pickup,225600,7200,2019
2019,Nissan,Sentra,Sedan,835,5210,2019
1999,Gmc,Yukon,Suv,164483,680,2019
1990,Chevrolet,Corvette,Convertible,104500,4100,2020
1992,Chevrolet,C/K Pickup 1500,Standard Cab Pickup,179774,2000,2019
2004,Dodge,Viper,Standard Cab Pickup,39814,24200,2020
1968,Ford,Mustang,Coupe,46814,15200,2019
2011,Honda,Civic,Sedan,110830,4600,2019
1993,Cadillac,Allante,Convertible,54713,2800,2019
2000,Jeep,Cherokee,Suv,111754,5100,2019
2000,Mitsubishi,Montero,Suv,165522,2500,2019
1999,Mercedes-Benz,S-Class,Sedan,87329,3150,2019
2009,Mercedes-Benz,E-Class,Sedan,160250,6000,2019
1964,Oldsmobile,Cutlass,Convertible,22000,15650,2019
2000,Ford,F-350,Standard Cab Pickup,502000,2550,2019
1964,Chevrolet,Corvair,Convertible,17533,5800,2019
2002,Ford,Thunderbird,Convertible,82500,5250,2020
2002,Ford,Thunderbird,Convertible,127400,4700,2020
1981,Chevrolet,Corvette,Coupe,62650,6400,2020
1986,Pontiac,Fiero,Coupe,99608,3250,2020
1980,Chevrolet,Corvette,Coupe,74500,5400,2020
2009,Dodge,Challenger,Coupe,49950,12100,2020
1957,Ford,Ranchero,Standard Cab Pickup,1234,7330,2020
2000,Ford,Mustang,Coupe,204000,2430,2020
2001,Nissan,Xterra,Sedan,230909,710,2020
1988,Pontiac,Fiero,Gt,1000,4470,2019
1989,Chevrolet,Camaro,Coupe,92000,3000,2020
1985,Jeep,Cj,Fiberglass,120000,7400,2019
1970,Volkswagen,Beetle - Classic,Sedan,999999,510,2019
2006,Gmc,Sierra 2500,Extended Cab Pickup,290000,3500,2020
1966,Ford,Mustang,Coupe,29531,8300,2020
2008,Chevrolet,Tahoe,Suv,188536,5500,2020
1970,Lincoln,Mark Series,Coupe,54940,11900,2019
2008,Infiniti,G35,Sedan,170000,1000,2020
1999,Dodge,Neon,Sedan,140303,200,2019
2004,Jeep,Wrangler,Suv,154300,8800,2019
1987,Cadillac,Allante,Convertible,94450,2550,2020
1996,Chevrolet,Corvette,Coupe,81000,6450,2020
1991,Bmw,3-Series,Convertible,125000,6600,2020
1987,Bmw,M6,Coupe,143116,16400,2020
2003,Porsche,911,Coupe,109000,30600,2019
2005,Porsche,911,Coupe,60500,48600,2019
2004,Porsche,911,Convertible,127868,17600,2020
2009,Bmw,3-Series,Convertible,100253,7500,2020
1960,Chevrolet,Corvair,Sedan,42000,6000,2020
2003,Infiniti,M45,Sedan,180000,410,2019
1995,Nissan,Other Pickups,Extended Cab Pickup,202975,700,2019
1993,Honda,Accord,Sedan,200000,1200,2020
1987,Toyota,4Runner,Suv,91555,3550,2020
1984,Jeep,J10,Standard Cab Pickup,95000,12000,2020
2005,Lexus,Ls,Sedan,112000,6900,2018
2009,Chevrolet,Hhr,Hatchback,82750,2850,2019
2016,Dodge,Challenger,Coupe,5600,45000,2019
2012,Lamborghini,Gallardo,Coupe,17550,100300,2020
1989,Land Rover,Defender,Suv,166500,22000,2020
1980,Mercedes-Benz,300Td,Wagon,400000,2500,2020
2015,Bmw,3-Series,Sedan,52000,8300,2019
1964,Pontiac,Bonneville,Coupe,66393,10870,2020
1994,Chevrolet,Blazer,Suv,205000,700,2020
1983,Ferrari,308,Convertible,34303,38000,2019
1961,Mercury,Comet,Sedan,83000,6500,2019
2009,Jeep,Commander,Suv,99300,9700,2020
1992,Alfa Romeo,Spider,Convertible,41000,8430,2019
1994,Chevrolet,Camaro,Coupe,49800,1000,2020
1997,Chevrolet,Other Pickups,Cab & Chassis,117000,1600,2019
1971,International Harvester,Other,Suv,100000,5000,2019
1964,Chevrolet,Impala,Coupe,100000,19300,2019
1993,Cadillac,Fleetwood,Limousine,52740,5200,2019
1986,Chevrolet,C-10,Standard Cab Pickup,104000,9010,2019
1979,Chevrolet,Corvette,Coupe,132000,7500,2019
2006,Chevrolet,Trailblazer,Suv,148000,2980,2020
1991,Porsche,911,Convertible,104,29100,2019
2006,Ford,F-350,Crew Cab Pickup,282040,4000,2020
1984,Chevrolet,Corvette,Coupe,128243,2180,2020
1999,Mazda,Mx-5 Miata,Convertible,163300,3500,2019
1979,Replica/Kit Makes,Bra Morgan,Trike,20,6500,2019
2001,Toyota,Corolla,Sedan,163000,2050,2020
2004,Chevrolet,Tahoe,Suv,305319,1200,2019
1974,Chevrolet,Corvette Stingray,Coupe,37300,7100,2019
1976,Dodge,B200 Van,Extended Passenger Van,84592,9100,2019
1996,Bmw,M3,Coupe,95846,13100,2020
2007,Ford,Mustang,Coupe,87000,5200,2019
2011,Ford,F-150,Regular Cab Pickup,18352,15900,2019
2005,Mini,Cooper S,Hatchback,175622,1500,2020
1968,Volkswagen,Bus/Vanagon,Van Camper,10000,8000,2019
1930,Ford,Other Pickups,Roadster Pickup,688,11200,2019
1973,Ford,Mustang,Fastback,108772,6000,2019
1995,Chevrolet,Corvette,Convertible,121000,6800,2019
1999,Mazda,Mx-5 Miata,Convertible,93273,6000,2020
1990,Toyota,Supra,Hatchback W/ Targa Top,89700,6800,2019
1957,Desoto,Explorer,Station Wagon,78000,4000,2020
2020,Chevrolet,Corvette,Coupe,30,85000,2020
2012,Acura,Mdx,Suv,85200,15500,2019
1971,Gmc,Sierra 2500,Standard Cab Pickup,89000,3900,2019
1985,Pontiac,Parisienne,Hearse,108000,340,2019
1994,Cadillac,Fleetwood,Hearse,112764,3300,2019
1959,Cadillac,Commercial Chassis,Hearse,81565,21500,2019
1967,Cadillac,Commercial Chassis,Hearse,112000,4200,2019
1995,Land Rover,Range Rover,Suv,85732,3600,2020
2016,Honda,Odyssey,Minivan,78000,8500,2019
2012,Bmw,3-Series,Sedan,95000,8600,2019
2005,Mazda,Rx-8,Coupe,77087,1580,2019
1970,Chevrolet,Camaro,Coupe,0,20300,2019
2003,Gmc,Safari,Van Camper,188000,660,2020
2004,Chevrolet,Monte Carlo,Coupe,183023,1400,2019
1995,Chevrolet,G20 Van,Standard Cargo Van,143568,5000,2020
1997,Volkswagen,Eurovan,Van Camper,104015,14700,2020
1987,Volkswagen,Bus/Vanagon,Van Camper,75370,10200,2019
2006,Chevrolet,Silverado 1500,Crew Cab Pickup,157000,3000,2019
2003,Chevrolet,Express,Extended Passenger Van,72000,10750,2019
2001,Ford,F-250,Extended Crew Cab Pickup,146373,3050,2019
2010,Ford,Escape,Suv,177000,1180,2020
1977,Porsche,911,Coupe,117341,36000,2019
1969,Chevrolet,Camaro,Convertible,7550,38300,2019
1969,Chevrolet,Camaro,Convertible,7550,46100,2019
2000,Ford,E-Series Van,Standard Passenger Van,50381,7200,2020
1973,Datsun,Pickup,Standard Cab Pickup,77532,1830,2020
1984,Dodge,Other Pickups,Standard Cab Pickup,150000,1330,2019
1978,Datsun,Z-Series,Coupe,104000,10300,2019
1977,Chevrolet,Corvette,Coupe,50000,7800,2020
1942,Cadillac,Other,Sedan,68352,7000,2019
1972,Chevrolet,Other Pickups,Standard Cab Pickup,1900,11800,2020
1977,Porsche,911,Coupe,69768,17100,2019
1979,Porsche,911,Coupe,72000,24200,2019
1954,Chevrolet,Other Pickups,Standard Cab Pickup,64048,22000,2019
1969,Chevrolet,Chevelle,Convertible,0,36600,2019
1974,Chevrolet,Chevelle,Coupe,0,7800,2019
2001,Gmc,Yukon,Suv,125001,6200,2019
2011,Honda,Odyssey,Minivan,77900,7100,2019
1967,Chevrolet,Camaro,Convertible,87000,28300,2020
1987,Chevrolet,Silverado 1500,Crew Cab Pickup,89000,8300,2020
2017,Chevrolet,Ss,Sedan,6877,7000,2019
1972,Plymouth,Barracuda,Coupe,85987,14300,2019
1997,Ford,E-Series Van,Conversion  Van,153000,3540,2019
1997,Ford,Mustang,Convertible,15600,14500,2019
2007,Ford,Mustang,Coupe,3115,30600,2019
2001,Ford,Mustang,Coupe,203093,1080,2019
1996,Chevrolet,Impala,Sedan,100000,4110,2020
1993,Volkswagen,Corrado,Coupe,153900,5900,2020
1982,Ferrari,Mondial,Coupe,33000,20000,2020
1960,Cadillac,Series 62,Convertible,0,39000,2019
1939,Dodge,Other,Sedan,999999999,6000,2019
1940,Nash,400 Series,Sedan,48500,7900,2019
1949,Packard,200,Coupe,58659,10100,2019
2009,Pontiac,Solstice,Convertible,5100,10000,2019
1985,Rolls-Royce,Silver Spirit,Sedan,128000,5700,2020
1976,Gmc,Jimmy,Suv,72965,940,2019
2006,Cadillac,Dts,Hearse,48505,7100,2020
2000,Cadillac,Deville,Limousine,39552,1500,2019
2001,Cadillac,Deville,Hearse,74936,2200,2019
2004,Subaru,Wrx,Wagon,108500,9000,2019
1969,Volkswagen,Beetle - Classic,Convertible,94000,7400,2019
1984,Mercedes-Benz,S-Class,Four Door Sedan,32000,12000,2020
1932,Ford,Roadster,Roadster Convertible,9000,27100,2019
1978,Replica/Kit Makes,Bradley Gt-Ii Gte,Sport Gull Wing Coupe,32,4050,2019
1977,Mercedes-Benz,Sl-Class,Convertible Roadster,65000,11990,2019
1972,Mercedes-Benz,Sl-Class,Convertible Roadster,69000,15090,2019
1972,Mercedes-Benz,Sl-Class,Convertible,70000,9800,2020
1971,Mercedes-Benz,200-Series,Sedan,21000,7600,2019
1972,Mercedes-Benz,200-Series,Sedan,72000,11990,2019
1993,Cadillac,Allante,Convertible,74000,7000,2019
1985,Chevrolet,C-10,Short Bed Pick Up,128000,6200,2019
1975,Chevrolet,Corvette,Convertible,58000,17880,2020
1972,Tvr,Vixen,Coupe,64000,6100,2019
1932,Replica/Kit Makes,Cadillac,Convertible,5500,26500,2019
1931,Buick,Series 90,Coupe,76000,15100,2019
1989,Jeep,Wrangler,Jeep,131000,9100,2019
1963,Chevrolet,Impala,Coupe,49000,14200,2020
1966,Oldsmobile,Toronado,Two Door Coupe,10000,15800,2019
1947,Chevrolet,Other Pickups,Heavy Duty Pick Up,124000,3990,2019
1940,Buick,Special,Convertible,99000,29850,2020
1973,Porsche,914,Targa Top Roadster,42000,12600,2019
1958,Buick,Special,Hard Top,99999,7750,2020
2000,Replica/Kit Makes,Hummer H1,Suv,13000,16110,2020
1957,Mercury,Monterey,Two Door Hard Top,55000,13950,2019
2003,Hummer,H2,Sport Utility Vehicle,110700,10750,2019
1965,Ford,Mustang,Coupe,29000,20100,2020
1966,Ford,Mustang,Convertible,40000,22200,2019
1976,Cadillac,Eldorado,Convertible,71000,15000,2020
1937,Buick,Phaeton,Sedan,38000,26110,2019
1969,Amc,Amx,Sport Coupe,49000,18900,2020
1957,Rolls-Royce,Silver Cloud,Convertible,30868,36000,2019
1934,Replica/Kit Makes,Mercedes Benz 500K,Convertible,7900,27770,2019
1966,Replica/Kit Makes,Austin Healey,Convertible,15000,11700,2019
1980,Replica/Kit Makes,Gt Ii,Gullwing Coupe,1,4260,2019
1936,Replica/Kit Makes,Zephyr,Convertible Roadster,35,36040,2019
1956,Ford,Thunderbird,Convertible And Hard Top,19900,26430,2019
1986,Jaguar,Xjs,Sport Coupe,26000,10300,2019
1987,Jaguar,Xjs,Sport Coupe,68000,7100,2019
1996,Jaguar,Xjs,Convertible,52000,17050,2019
1996,Jaguar,Xjs,Convertible,78000,11990,2019
1995,Land Rover,Range Rover,Sport Utility Vehicle,46000,13880,2019
2001,Bentley,Arnage,Luxury Sedan,77000,19600,2019
1967,Rolls-Royce,Silver Shadow,Luxury Sedan,37000,14900,2019
1984,Bmw,6-Series,Coupe,68000,12500,2019
1988,Bmw,6-Series,Sport Coupe,155000,7100,2019
1995,Bmw,8-Series,Convertible,76000,16990,2019
2010,Bmw,5-Series,Sedan,59000,9090,2019
1985,Mercedes-Benz,Sl-Class,Convertible,87000,12800,2020
1985,Mercedes-Benz,Sl-Class,Convertible,93000,10000,2019
2002,Mercedes-Benz,Sl-Class,Convertible,63000,14460,2019
2002,Mercedes-Benz,Sl-Class,Roadster Convertible,46900,11400,2019
2004,Mercedes-Benz,Sl-Class,Convertible,90000,12510,2019
1983,Porsche,928,Coupe,116000,7880,2020
1966,Chrysler,Imperial,Crouwn Coupe,53000,14000,2019
1982,Maserati,Quattroporte,Four Door Luxury Sedan,48000,15500,2019
1986,Maserati,Biturbo,Sedan,29000,4890,2020
1991,Alfa Romeo,164,Sedan,68000,3580,2019
1983,Fiat,124 Spider,Convertibles,77000,3400,2020
2005,Mercedes-Benz,Slk-Class,Convertible,159602,5100,2020
1973,Chevrolet,Nova,Fastback,73566,10500,2019
1968,Chevrolet,Camaro,Convertible,82006,13500,2019
1952,Ford,Sunliner,Convertible,3000,33800,2019
2003,Ford,Excursion,Suv,104100,6600,2019
2013,Ford,F-250,Crew Cab Pickup,69300,36430,2019
2006,Ford,F-150,Crew Cab Pickup,93500,8100,2020
1985,Pontiac,Fiero,Coupe,93650,3050,2020
1984,Chevrolet,S-10,Extended Cab Pickup,96800,6110,2020
2016,Gmc,Yukon,Suv,44900,33950,2019
2005,Chevrolet,Tahoe,Suv,152000,5200,2019
2008,Jeep,Wrangler,Suv,23600,28600,2019
1997,Geo,Tracker,Suv,65490,5100,2020
2018,Dodge,Journey,Suv,5350,8400,2019
2019,Chevrolet,Equinox,Suv,3050,14670,2019
1999,Mazda,B-Series Pickups,Extended Cab Pickup,57150,5300,2020
2007,Honda,Element,Suv,88308,8900,2020
2017,Toyota,Highlander,Suv,25150,28400,2019
2014,Toyota,Tundra,Crew Cab Pickup,43002,31500,2019
2019,Mitsubishi,Eclipse Cross Es,Suv,1350,8400,2019
2015,Lexus,Nx,Suv,24282,22100,2019
2007,Jaguar,S-Type,Sedan,73573,6000,2019
2009,Bmw,7-Series,Sedan,91700,9600,2020
